Ticket,Fecha,CodTienda,CodCliente
"S2-13-003-258650","04/30/13 00:00:00","003","005590"
"S2-13-003-258661","04/30/13 00:00:00","003","002877"
"S2-13-005-164504","01/03/13 00:00:00","005","001549"
"S2-13-005-164523","01/05/13 00:00:00","005","007466"
"S2-13-005-164552","01/08/13 00:00:00","005","005854"
"S2-13-005-164592","01/10/13 00:00:00","005","002907"
"S2-13-005-164607","01/11/13 00:00:00","005","004976"
"S2-13-005-164618","01/12/13 00:00:00","005","002877"
"S2-13-005-164644","01/14/13 00:00:00","005","006166"
"S2-13-005-164675","01/15/13 00:00:00","005","000895"
"S2-13-005-164679","01/15/13 00:00:00","005","006297"
"S2-13-005-164712","01/17/13 00:00:00","005","005554"
